month,members,referred_adds,merchants,new_merchants,company_residual,company_upfront,company_revenue,referral_cost,fixed_opex,company_net,cash,cum_retained,member_residual,member_upfront,member_distributed,cum_distributed
1,63.6,6.6,22.3,22.3,1224.0,3339.0,4563.0,297.0,15000.0,-10734.0,-10734.0,4563.0,2115.0,6678.0,8793.0,8793.0
2,67.4,7.0,45.5,23.6,2504.0,3539.0,6043.0,315.0,15180.0,-9452.0,-20185.0,10606.0,4325.0,7079.0,11403.0,20196.0
3,71.5,7.4,69.9,25.0,3842.0,3752.0,7593.0,334.0,15362.0,-8102.0,-28288.0,18200.0,6636.0,7503.0,14139.0,34335.0
4,75.7,7.9,95.3,26.5,5242.0,3977.0,9219.0,354.0,15547.0,-6681.0,-34969.0,27419.0,9055.0,7954.0,17008.0,51344.0
5,80.3,8.3,122.0,28.1,6709.0,4215.0,10925.0,375.0,15733.0,-5183.0,-40152.0,38344.0,11589.0,8431.0,20020.0,71363.0
6,85.1,8.8,149.9,29.8,8247.0,4468.0,12715.0,397.0,15922.0,-3604.0,-43756.0,51059.0,14245.0,8937.0,23182.0,94545.0
7,90.2,9.4,179.3,31.6,9860.0,4736.0,14596.0,421.0,16113.0,-1938.0,-45694.0,65655.0,17031.0,9473.0,26504.0,121049.0
8,95.6,9.9,210.1,33.5,11553.0,5021.0,16574.0,447.0,16306.0,-179.0,-45873.0,82229.0,19955.0,10041.0,29996.0,151045.0
9,101.4,10.5,242.4,35.5,13331.0,5322.0,18653.0,473.0,16502.0,1678.0,-44196.0,100882.0,23026.0,10644.0,33670.0,184715.0
10,107.5,11.2,276.4,37.6,15200.0,5641.0,20841.0,502.0,16700.0,3639.0,-40557.0,121723.0,26254.0,11282.0,37536.0,222251.0
11,113.9,11.8,312.1,39.9,17164.0,5980.0,23144.0,532.0,16900.0,5711.0,-34845.0,144867.0,29647.0,11959.0,41606.0,263858.0
12,120.7,12.5,349.6,42.3,19231.0,6338.0,25569.0,564.0,17103.0,7902.0,-26943.0,170436.0,33217.0,12677.0,45894.0,309751.0
13,128.0,13.3,389.2,44.8,21406.0,6719.0,28125.0,598.0,17308.0,10218.0,-16724.0,198560.0,36974.0,13437.0,50411.0,360162.0
14,135.7,14.1,430.8,47.5,23696.0,7122.0,30818.0,633.0,17516.0,12668.0,-4056.0,229378.0,40930.0,14244.0,55173.0,415336.0
15,143.8,14.9,474.7,50.3,26109.0,7549.0,33658.0,671.0,17726.0,15260.0,11204.0,263036.0,45097.0,15098.0,60195.0,475531.0
16,152.4,15.8,520.9,53.3,28651.0,8002.0,36653.0,712.0,17939.0,18002.0,29206.0,299689.0,49488.0,16004.0,65493.0,541023.0
17,161.6,16.8,569.7,56.5,31331.0,8482.0,39814.0,754.0,18154.0,20905.0,50111.0,339503.0,54118.0,16964.0,71083.0,612106.0
18,171.3,17.8,621.1,59.9,34158.0,8991.0,43149.0,800.0,18372.0,23978.0,74089.0,382652.0,59001.0,17982.0,76983.0,689089.0
19,181.5,18.8,675.3,63.5,37140.0,9531.0,46671.0,848.0,18593.0,27231.0,101320.0,429323.0,64152.0,19061.0,83213.0,772302.0
20,192.4,20.0,732.5,67.3,40288.0,10102.0,50390.0,899.0,18816.0,30676.0,131995.0,479714.0,69588.0,20205.0,89793.0,862094.0
21,204.0,21.2,792.9,71.4,43610.0,10709.0,54318.0,953.0,19042.0,34324.0,166320.0,534032.0,75326.0,21417.0,96743.0,958838.0
22,216.2,22.4,856.7,75.7,47118.0,11351.0,58469.0,1010.0,19270.0,38189.0,204509.0,592501.0,81385.0,22702.0,104087.0,1062925.0
23,229.2,23.8,924.1,80.2,50823.0,12032.0,62855.0,1070.0,19501.0,42283.0,246792.0,655356.0,87785.0,24064.0,111849.0,1174774.0
24,242.9,25.2,995.2,85.0,54737.0,12754.0,67491.0,1134.0,19735.0,46621.0,293414.0,722847.0,94546.0,25508.0,120054.0,1294828.0
25,257.5,26.7,1070.4,90.1,58873.0,13519.0,72392.0,1203.0,19972.0,51218.0,344632.0,795239.0,101690.0,27039.0,128729.0,1423557.0
26,273.0,28.3,1149.9,95.5,63244.0,14331.0,77575.0,1275.0,20212.0,56089.0,400720.0,872814.0,109240.0,28661.0,137902.0,1561458.0
27,289.3,30.0,1233.9,101.3,67866.0,15190.0,83056.0,1351.0,20454.0,61251.0,461971.0,955870.0,117222.0,30381.0,147603.0,1709062.0
28,306.7,31.8,1322.8,107.3,72752.0,16102.0,88853.0,1432.0,20700.0,66721.0,528692.0,1044724.0,125662.0,32204.0,157866.0,1866927.0
29,325.1,33.7,1416.7,113.8,77919.0,17068.0,94987.0,1518.0,20948.0,72520.0,601212.0,1139710.0,134587.0,34136.0,168722.0,2035650.0
30,344.6,35.8,1516.1,120.6,83384.0,18092.0,101476.0,1609.0,21200.0,78667.0,679879.0,1241186.0,144026.0,36184.0,180210.0,2215860.0
31,365.3,37.9,1621.2,127.9,89165.0,19178.0,108342.0,1706.0,21454.0,85182.0,765061.0,1349528.0,154011.0,38355.0,192367.0,2408226.0
32,387.2,40.2,1732.4,135.5,95281.0,20328.0,115609.0,1808.0,21711.0,92089.0,857151.0,1465137.0,164576.0,40656.0,205232.0,2613458.0
33,410.4,42.6,1850.0,143.7,101752.0,21548.0,123300.0,1917.0,21972.0,99412.0,956562.0,1588437.0,175754.0,43096.0,218850.0,2832308.0
34,435.1,45.1,1974.6,152.3,108601.0,22841.0,131442.0,2032.0,22236.0,107175.0,1063737.0,1719879.0,187584.0,45681.0,233265.0,3065573.0
35,461.2,47.9,2106.4,161.4,115849.0,24211.0,140061.0,2154.0,22502.0,115405.0,1179142.0,1859939.0,200104.0,48422.0,248526.0,3314099.0
36,488.8,50.7,2245.9,171.1,123522.0,25664.0,149186.0,2283.0,22772.0,124130.0,1303272.0,2009125.0,213356.0,51328.0,264684.0,3578783.0
37,518.2,53.8,2393.5,181.4,131644.0,27204.0,158847.0,2420.0,23046.0,133382.0,1436654.0,2167972.0,227384.0,54407.0,281792.0,3860575.0
38,549.3,57.0,2549.9,192.2,140242.0,28836.0,169078.0,2565.0,23322.0,143191.0,1579845.0,2337050.0,242236.0,57672.0,299908.0,4160483.0
39,582.2,60.4,2715.4,203.8,149346.0,30566.0,179912.0,2719.0,23602.0,153591.0,1733436.0,2516963.0,257961.0,61132.0,319093.0,4479576.0
40,617.1,64.0,2890.7,216.0,158986.0,32400.0,191386.0,2882.0,23885.0,164619.0,1898055.0,2708348.0,274612.0,64800.0,339412.0,4818988.0
41,654.2,67.9,3076.3,229.0,169194.0,34344.0,203538.0,3055.0,24172.0,176311.0,2074366.0,2911886.0,292244.0,68688.0,360932.0,5179920.0
42,693.4,72.0,3272.8,242.7,180004.0,36405.0,216409.0,3238.0,24462.0,188709.0,2263075.0,3128295.0,310917.0,72809.0,383726.0,5563646.0
43,735.0,76.3,3481.0,257.3,191454.0,38589.0,230043.0,3432.0,24756.0,201855.0,2464929.0,3358338.0,330693.0,77178.0,407870.0,5971517.0
44,779.1,80.9,3701.5,272.7,203580.0,40904.0,244484.0,3638.0,25053.0,215793.0,2680722.0,3602822.0,351638.0,81809.0,433447.0,6404963.0
45,825.9,85.7,3935.0,289.1,216424.0,43359.0,259783.0,3857.0,25353.0,230573.0,2911295.0,3862605.0,373824.0,86717.0,460541.0,6865505.0
46,875.4,90.8,4182.4,306.4,230030.0,45960.0,275990.0,4088.0,25657.0,246245.0,3157540.0,4138595.0,397325.0,91920.0,489245.0,7354749.0
47,928.0,96.3,4444.4,324.8,244443.0,48718.0,293160.0,4333.0,25965.0,262862.0,3420402.0,4431756.0,422219.0,97435.0,519655.0,7874404.0
48,983.6,102.1,4722.0,344.3,259711.0,51641.0,311352.0,4593.0,26277.0,280481.0,3700883.0,4743107.0,448592.0,103281.0,551873.0,8426277.0
49,1042.7,108.2,5016.1,364.9,275886.0,54739.0,330626.0,4869.0,26592.0,299164.0,4000047.0,5073733.0,476531.0,109478.0,586009.0,9012286.0
50,1105.2,114.7,5327.7,386.8,293023.0,58023.0,351047.0,5161.0,26911.0,318974.0,4319022.0,5424780.0,506131.0,116047.0,622178.0,9634465.0
51,1171.5,121.6,5657.8,410.0,311180.0,61505.0,372685.0,5471.0,27234.0,339980.0,4659001.0,5797465.0,537492.0,123010.0,660502.0,10294967.0
52,1241.8,128.9,6007.6,434.6,330417.0,65195.0,395612.0,5799.0,27561.0,362252.0,5021253.0,6193077.0,570720.0,130390.0,701111.0,10996078.0
53,1316.3,136.6,6378.2,460.7,350800.0,69107.0,419907.0,6147.0,27892.0,385868.0,5407121.0,6612984.0,605927.0,138214.0,744141.0,11740219.0
54,1395.3,144.8,6770.9,488.4,372398.0,73253.0,445651.0,6516.0,28227.0,410908.0,5818030.0,7058634.0,643232.0,146507.0,789739.0,12529957.0
55,1479.0,153.5,7187.0,517.7,395283.0,77649.0,472931.0,6907.0,28565.0,437459.0,6255489.0,7531566.0,682761.0,155297.0,838058.0,13368015.0
56,1567.8,162.7,7627.9,548.7,419533.0,82307.0,501840.0,7321.0,28908.0,465611.0,6721100.0,8033406.0,724648.0,164615.0,889262.0,14257278.0
57,1661.8,172.5,8095.1,581.6,445230.0,87246.0,532476.0,7760.0,29255.0,495460.0,7216560.0,8565882.0,769034.0,174492.0,943525.0,15200803.0
58,1761.5,182.8,8590.2,616.5,472461.0,92481.0,564942.0,8226.0,29606.0,527110.0,7743670.0,9130823.0,816069.0,184961.0,1001030.0,16201833.0
59,1867.2,193.8,9114.9,653.5,501318.0,98029.0,599348.0,8720.0,29961.0,560667.0,8304337.0,9730171.0,865913.0,196059.0,1061972.0,17263806.0
60,1979.3,205.4,9670.9,692.7,531899.0,103911.0,635811.0,9243.0,30321.0,596247.0,8900584.0,10365982.0,918735.0,207822.0,1126558.0,18390363.0
